MSSubClass,MSZoning,LotFrontage,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,YrSold,SalePrice,price_per_sqft,room_ratio,lot_to_sqft_ratio,avg_room_size,total_living_area
4,2,0.0,0.3001916940874731,7,6.0,6.0,0.3466961517748257,0.16358954103544834,3,4,106.0,3,2,2,2,560.0,598.0,0.41483024467463575,2,1167.0,0.0,-0.6341716953186947,1.0,0.8061237684104074,0.0,0.33228487922696837,2,6.0,0.0,3,0,1992.0,2,2.0,400.0,120.0,26.0,2009.0,12.061046873479915,0.01033508729518416,1.5,0.00782533212588874,233.4,2325.0
7,2,0.0,0.2759472033166961,2,5.0,5.0,-1.797294950953791,-0.3515104378578008,4,6,0.0,3,1,3,4,399.0,484.0,-0.4982000456977682,2,988.0,517.0,0.26065841587570926,1.0,-1.1907886371539629,0.0,0.33228487922696837,3,8.0,0.0,3,3,1940.0,3,1.0,240.0,0.0,0.0,2008.0,11.884489021402711,0.007896670446114758,3.0,0.0060603675783884705,376.25,2388.0
4,2,8.831760866327848,-0.06485366259717057,11,5.0,6.0,-1.2200665771422403,-1.7937903787588982,3,4,200.0,3,2,3,3,540.0,728.0,0.7800423608235973,2,1268.0,0.0,-0.3667816325061657,0.0,-1.1907886371539629,0.0,-1.2175125652925647,3,7.0,1.0,2,0,1954.0,0,1.0,244.0,0.0,98.0,2010.0,11.790557201568507,0.009298546688934154,2.0,0.007067727927979245,422.6666666666667,2536.0
8,2,0.0,0.021602828473524696,7,6.0,5.0,0.6765409368099975,0.5756695241500477,7,10,0.0,3,2,2,5,0.0,953.0,-0.2657923354211563,0,953.0,711.0,0.6815992078281063,0.0,0.8061237684104074,1.0,0.33228487922696837,3,7.0,1.0,5,0,2000.0,2,2.0,460.0,100.0,40.0,2006.0,12.05757263721173,0.00724613740217051,1.5,0.005409981116756257,332.8,2617.0
8,2,8.06225774829855,0.04235615766798852,4,7.0,5.0,0.8002327311981869,0.7817095157073473,7,10,0.0,2,2,2,5,0.0,847.0,-0.6177240109828829,0,847.0,1081.0,1.3805197680509544,0.0,0.8061237684104074,1.0,1.8820823237465014,2,8.0,1.0,2,2,2003.0,0,2.0,434.0,100.0,48.0,2007.0,12.299107511497363,0.006379205140818135,2.0,0.004674216511023,321.3333333333333,2775.0
11,2,7.54983443527075,0.2049193180689468,4,5.0,5.0,0.5116185442924116,0.369629532592748,7,10,0.0,2,2,2,2,298.0,572.0,-0.5413614776062818,0,914.0,0.0,-1.3039705655322573,0.0,-1.1907886371539629,0.0,-1.2175125652925647,3,5.0,0.0,3,3,1998.0,3,2.0,576.0,0.0,0.0,2006.0,11.904967552746252,0.013025128613507934,2.0,0.009942801595654565,304.6666666666667,1784.0
8,2,7.745966692414834,0.02213071560331234,7,6.0,5.0,0.6765409368099975,0.5756695241500477,7,10,16.0,3,2,2,5,0.0,982.0,-0.16950914116370278,0,1007.0,793.0,1.0416491933974523,0.0,0.8061237684104074,1.0,0.33228487922696837,3,7.0,1.0,5,0,2000.0,0,2.0,463.0,100.0,63.0,2009.0,12.095141084822892,0.0067195228249016066,1.5,0.005001363790583863,360.0,2782.0
4,0,7.745966692414834,-0.2364451870156705,20,7.0,5.0,0.9239245255863764,0.8847295114859971,7,10,0.0,2,2,2,5,0.0,1293.0,0.8630451144938158,0,1301.0,0.0,-0.2794165624783097,1.0,0.8061237684104074,0.0,-1.2175125652925647,2,5.0,1.0,2,0,2006.0,2,2.0,572.0,216.0,121.0,2006.0,12.142866569626381,0.009333486986645951,1.0,0.0068269302882430025,325.25,2594.0
8,2,8.888194417315589,0.2994961607585209,4,7.0,5.0,0.9239245255863764,0.8847295114859971,7,10,0.0,2,2,2,5,0.0,939.0,-0.31227387747647867,0,939.0,858.0,1.0337069143040107,0.0,0.8061237684104074,1.0,0.33228487922696837,2,8.0,0.0,3,0,2006.0,2,2.0,639.0,144.0,53.0,2007.0,12.271392111650817,0.006828821431080032,1.5,0.005081712934792001,359.4,2736.0
10,2,8.48528137423857,-0.2364451870156705,6,6.0,6.0,-0.3129934182955179,-0.6605704251937502,4,6,255.0,3,1,3,0,631.0,410.0,0.02637735749801297,0,1125.0,0.0,-0.7453636026268751,1.0,-1.1907886371539629,0.0,0.33228487922696837,3,6.0,1.0,1,3,1977.0,3,1.0,352.0,296.0,0.0,2009.0,11.736069016284437,0.01043206134780839,3.0,0.00789496560444813,281.25,2166.0
4,2,9.643650760992955,0.331030921516654,4,7.0,5.0,0.635310338680601,0.5756695241500477,7,10,125.0,2,2,2,5,0.0,1468.0,1.4440643901853456,0,1479.0,0.0,0.19182533039921662,0.0,0.8061237684104074,0.0,0.33228487922696837,2,6.0,0.0,3,0,1999.0,2,2.0,577.0,120.0,25.0,2008.0,12.160028707028767,0.008221790876963331,1.5,0.006184278728119272,295.8,2947.0
5,2,0.0,-0.164423883085795,2,4.0,5.0,-1.7560643528243947,-1.999830370316198,9,12,0.0,3,1,3,4,266.0,522.0,-0.8136105096445987,3,788.0,0.0,-1.6375462874567985,0.0,-1.1907886371539629,0.0,-1.2175125652925647,3,4.0,2.0,5,4,1978.5061638868744,1,0.0,0.0,0.0,0.0,2006.0,11.512925464970229,0.014610311503769326,2.0,0.011314000322884089,262.6666666666667,1576.0
7,2,7.745966692414834,0.4963207641648577,16,5.0,6.0,-1.797294950953791,-1.999830370316198,4,6,0.0,3,1,3,5,0.0,735.0,-0.989576347425462,2,735.0,299.0,-0.9862794017945992,0.0,-1.1907886371539629,0.0,-1.2175125652925647,3,5.0,0.0,3,3,1940.0,3,1.0,240.0,0.0,39.0,2007.0,11.59910316121128,0.011217701316451915,2.0,0.008920359174115914,344.6666666666667,1769.0
4,2,8.246211251235321,0.3737874360302961,6,5.0,6.0,-1.1376053808834474,-1.6907703829802485,8,11,0.0,3,1,3,1,739.0,405.0,0.36834870261931335,3,1144.0,0.0,-0.6950625017017458,1.0,-1.1907886371539629,0.0,0.33228487922696837,3,6.0,0.0,3,0,1956.0,3,1.0,596.0,44.0,0.0,2010.0,11.76756768334381,0.010286335387538295,3.0,0.008012668681989429,286.0,2288.0
4,2,7.745966692414834,-0.2364451870156705,4,5.0,5.0,-0.4779158108131038,-0.8666104167510499,4,6,0.0,3,1,3,4,777.0,117.0,-0.4616788340828721,3,894.0,0.0,-1.356919092821867,0.0,-1.1907886371539629,0.0,-1.2175125652925647,3,6.0,0.0,3,3,1985.0,2,2.0,600.0,215.0,0.0,2009.0,11.719939634354555,0.013109552163707556,2.0,0.009934939938483385,298.0,1788.0
4,2,8.06225774829855,0.1856883686611438,4,7.0,5.0,0.8826939274569799,0.8332195135966722,7,10,0.0,2,2,2,2,24.0,1286.0,0.9194869869895644,0,1310.0,0.0,-0.25558972519798534,0.0,0.8061237684104074,0.0,0.33228487922696837,2,6.0,1.0,2,0,2005.0,0,2.0,400.0,0.0,0.0,2006.0,12.01364014498549,0.009170717667927855,1.5,0.006930343474495104,262.0,2620.0
8,2,0.0,0.5444311268760469,7,6.0,5.0,0.47038794616301516,0.369629532592748,4,6,0.0,3,2,2,5,0.0,806.0,-0.7538485270020413,2,806.0,766.0,0.43803598229590174,0.0,0.8061237684104074,1.0,0.33228487922696837,3,7.0,1.0,5,2,1995.0,0,2.0,373.0,0.0,40.0,2007.0,12.031719258385396,0.0076537654315428725,1.5,0.005881738894199746,314.4,2378.0
4,2,0.0,0.4658550393886545,18,4.0,4.0,-0.3129934182955179,0.21509953892477326,5,7,0.0,3,1,3,1,1116.0,165.0,0.823203792732111,0,1620.0,0.0,0.565112447790965,1.0,0.8061237684104074,0.0,0.33228487922696837,3,8.0,1.0,5,0,1993.0,3,2.0,490.0,120.0,78.0,2009.0,11.918390573078392,0.0073570312179496245,1.5,0.005684839485637666,324.0,2901.0
4,2,8.54400374531753,0.2177250738184155,7,7.0,5.0,0.9651551237157728,0.9362395093753221,7,10,0.0,2,2,2,2,24.0,1316.0,1.0190902913938267,0,1340.0,0.0,-0.17616693426357077,0.0,0.8061237684104074,0.0,0.33228487922696837,2,6.0,0.0,3,0,2007.0,0,2.0,396.0,100.0,30.0,2007.0,12.106992367829498,0.009035068931216044,1.5,0.0067863389476543745,268.0,2680.0
8,2,8.602325267042627,-0.05279469658509282,18,6.0,7.0,-0.23053222203672497,-0.5575504294151004,3,4,203.0,3,1,3,0,209.0,463.0,-1.1987432866744128,3,672.0,728.0,-0.01732135239474168,0.0,-1.1907886371539629,1.0,0.33228487922696837,3,6.0,1.0,5,0,1978.0,0,2.0,440.0,0.0,0.0,2006.0,11.915051671812877,0.008510751194152056,3.0,0.006405360133797312,350.0,2072.0
7,2,7.745966692414834,0.031873253535901286,6,5.0,6.0,-1.797294950953791,-1.999830370316198,4,6,0.0,3,0,3,0,312.0,444.0,-0.9198540343424784,1,756.0,378.0,-0.7215367653465506,1.0,-1.1907886371539629,1.0,0.33228487922696837,3,7.0,0.0,3,3,1940.0,3,1.0,240.0,0.0,0.0,2007.0,11.744037185933616,0.010356293814756275,3.0,0.00794268028920472,283.5,1890.0
4,2,8.48528137423857,0.24191871704329224,11,6.0,5.0,-1.1376053808834474,-1.6907703829802485,8,11,74.0,3,1,2,3,616.0,580.0,0.5409944302533679,2,1196.0,0.0,-0.5573963307487606,1.0,-1.1907886371539629,0.0,-1.2175125652925647,3,6.0,1.0,2,0,1956.0,2,1.0,297.0,0.0,44.0,2008.0,11.842229212112828,0.00990152944156591,2.0,0.007612859411637422,398.6666666666667,2392.0
4,2,8.774964387392123,0.14271314673608804,11,4.0,6.0,-1.0963747827540509,-1.6392603850909235,4,6,0.0,3,1,3,4,288.0,619.0,-0.4185174021743584,0,907.0,0.0,-1.3225025500836207,0.0,-1.1907886371539629,0.0,0.33228487922696837,3,5.0,0.0,3,3,1964.0,3,1.0,352.0,0.0,0.0,2008.0,11.59917655301345,0.012788507776200055,3.0,0.009987544870246112,226.75,1814.0
4,2,8.0,-0.3709918905917573,4,7.0,5.0,0.9651551237157728,0.9362395093753221,7,10,108.0,2,2,2,2,664.0,544.0,0.5808357520150729,0,1208.0,0.0,-0.5256272143749948,1.0,0.8061237684104074,0.0,-1.2175125652925647,2,6.0,0.0,3,0,2007.0,2,2.0,628.0,105.0,54.0,2007.0,12.182804018590819,0.010085102664396373,1.0,0.007300557933168734,302.0,2416.0
1,3,4.58257569495584,-3.3562166436270573,1,6.0,5.0,-0.5191464089425003,-0.9181204146403747,3,4,232.0,3,1,3,0,387.0,96.0,-1.826244104421265,3,483.0,504.0,-1.110708440925182,0.0,-1.1907886371539629,1.0,-1.2175125652925647,3,4.0,0.0,3,3,1971.0,3,1.0,264.0,0.0,0.0,2008.0,11.355101379776661,0.011504661985589323,2.0,0.007524365828163429,329.0,1470.0
7,3,7.745966692414834,-0.7805664824204338,16,6.0,7.0,-2.6219069135417206,0.47264952837139784,4,6,0.0,3,0,3,5,0.0,901.0,-0.4384380630552109,2,1088.0,110.0,-0.5521014780197996,0.0,-1.1907886371539629,0.0,1.8820823237465014,3,7.0,0.0,3,4,1978.5061638868744,1,0.0,0.0,0.0,98.0,2008.0,11.288531131754366,0.009422813966405982,4.0,0.0072020189870660445,239.6,2099.0
1,3,4.898979485566356,-3.0699587709971126,1,5.0,5.0,-0.5191464089425003,-0.9181204146403747,3,4,376.0,3,1,3,0,471.0,294.0,-0.8899730430211997,0,765.0,600.0,-0.10998127515155864,1.0,-1.1907886371539629,1.0,-1.2175125652925647,3,6.0,0.0,3,3,1971.0,3,2.0,440.0,240.0,36.0,2007.0,11.715866308966918,0.008583052241001405,2.0,0.005538520487195478,455.0,2130.0
8,2,10.0,0.6404978599918619,7,6.0,5.0,0.552849142421808,0.47264952837139784,7,10,0.0,3,2,2,5,0.0,926.0,-0.35543530938499235,0,926.0,678.0,0.5227536259592772,0.0,0.8061237684104074,1.0,0.33228487922696837,3,7.0,1.0,5,0,1997.0,0,2.0,470.0,0.0,36.0,2008.0,12.106252310247962,0.007547538846788006,1.5,0.0057923354238252804,320.8,2530.0
2,3,4.58257569495584,-3.1037193053142578,9,4.0,7.0,-0.4779158108131038,-0.8666104167510499,2,3,0.0,3,1,2,0,495.0,135.0,-1.33818791284038,2,630.0,0.0,-2.055839653044715,1.0,-1.1907886371539629,0.0,-2.7673100098120975,3,3.0,0.0,3,4,1978.5061638868744,1,0.0,0.0,88.0,0.0,2008.0,11.302204433654575,0.017940007037546946,1.0,0.01197513033024395,315.0,1260.0
7,3,7.211102550927978,-0.5432175666561295,2,5.0,7.0,-2.209600932247756,0.16358954103544834,4,6,0.0,3,2,3,5,0.0,1078.0,0.14922143292993642,3,1128.0,445.0,0.4406834086603822,0.0,0.8061237684104074,0.0,0.33228487922696837,3,8.0,1.0,2,3,1930.0,3,2.0,360.0,0.0,0.0,2008.0,12.000891794590137,0.007629301840171734,1.5,0.005555458017395724,314.6,2651.0
0,2,7.280109889280518,-1.5387287037624817,0,7.0,5.0,0.9239245255863764,0.9362395093753221,9,12,72.0,2,2,0,5,0.0,1258.0,0.7468412593555099,0,1258.0,0.0,-0.39325589615097056,0.0,0.8061237684104074,0.0,-1.2175125652925647,2,6.0,1.0,2,0,2007.0,0,3.0,648.0,144.0,16.0,2007.0,12.058152515453552,0.009585176880328738,1.0,0.006577390307437434,314.5,2516.0
8,2,8.366600265340756,0.18152741015951052,4,7.0,5.0,0.42915734803361866,0.3181195347034231,7,10,0.0,2,2,2,2,642.0,273.0,-0.3919565209998885,0,933.0,975.0,1.3275712407613447,1.0,0.8061237684104074,1.0,1.8820823237465014,2,8.0,1.0,5,0,1994.0,3,2.0,493.0,144.0,133.0,2008.0,12.254862809699606,0.006422884072169605,2.0,0.004757237410561667,318.0,2823.0
4,2,8.54400374531753,0.4364733491077255,6,6.0,5.0,-1.1376053808834474,-1.6907703829802485,8,11,0.0,3,1,3,5,0.0,1436.0,1.337820865487466,1,1689.0,0.0,0.7477848669401185,0.0,-1.1907886371539629,0.0,0.33228487922696837,3,7.0,1.0,2,0,1956.0,3,2.0,480.0,0.0,0.0,2009.0,11.755871643580617,0.006960255561622627,3.0,0.005444484440252705,422.25,3125.0
8,2,0.0,0.713411622838001,7,7.0,5.0,0.5940797405512046,0.5241595262607227,7,10,0.0,2,2,2,5,0.0,930.0,-0.34215486879775736,2,956.0,930.0,1.269327860742774,0.0,0.8061237684104074,1.0,1.8820823237465014,2,10.0,1.0,5,0,1998.0,0,2.0,431.0,89.0,0.0,2006.0,12.205572520488492,0.0064716715379048205,2.0,0.004944283285622279,314.3333333333333,2816.0
7,3,7.0710678118654755,0.1444587697445068,8,6.0,6.0,-1.9209867453419804,-1.999830370316198,4,6,0.0,3,0,3,5,0.0,780.0,-0.8401713908190686,3,780.0,596.0,-0.08085958514227332,0.0,0.8061237684104074,0.0,0.33228487922696837,3,7.0,1.0,2,3,1937.0,3,1.0,198.0,0.0,0.0,2006.0,11.691071650353702,0.00849641835054775,1.5,0.006583951658605813,275.2,2156.0
8,2,0.0,0.3129033079893541,22,6.0,5.0,0.5116185442924116,0.4211395304820729,7,10,42.0,2,2,0,0,742.0,130.0,-0.5347212573126644,0,888.0,868.0,0.925162433360311,1.0,0.8061237684104074,1.0,0.33228487922696837,3,7.0,0.0,3,0,1996.0,0,2.0,422.0,144.0,122.0,2007.0,12.225875272826354,0.006962343549445532,1.5,0.0052039249474764,351.2,2628.0
8,0,8.660254037844387,0.24191871704329224,20,8.0,5.0,1.0063857218451693,0.9877495072646469,7,10,0.0,2,2,2,5,0.0,768.0,-0.8800127125807735,0,786.0,804.0,0.48568965685655047,0.0,0.8061237684104074,1.0,0.33228487922696837,2,6.0,0.0,3,0,2008.0,2,2.0,676.0,0.0,30.0,2009.0,12.254862809699606,0.007707460886603526,1.5,0.005726402425357457,318.0,2358.0
4,2,8.94427190999916,0.38027314741662605,13,7.0,6.0,-0.43668521268370736,-0.815100418861725,3,4,320.0,3,1,3,0,916.0,326.0,0.6937194970065701,1,1242.0,0.0,-0.4356147179826583,0.0,-1.1907886371539629,1.0,0.33228487922696837,3,6.0,1.0,5,0,1973.0,3,2.0,528.0,0.0,0.0,2007.0,12.075394321888057,0.009722539711665102,3.0,0.007382865038209282,310.5,2484.0
9,3,0.0,-0.9756968495825248,16,8.0,7.0,-2.415753922894738,0.369629532592748,6,12,0.0,3,2,3,5,0.0,588.0,-1.477632539006347,1,833.0,833.0,0.6868940605570674,0.0,-1.1907886371539629,0.0,0.33228487922696837,2,7.0,1.0,2,3,1925.0,3,1.0,228.0,192.0,63.0,2008.0,11.9891596439666,0.007196374336114406,3.0,0.005124247190103492,416.5,2254.0
8,0,8.660254037844387,-0.009507014337298987,20,8.0,5.0,1.0476163199745658,1.039259505153972,7,10,110.0,2,2,2,2,544.0,288.0,-0.667525663185014,0,832.0,1103.0,1.3990517526023178,1.0,0.8061237684104074,1.0,0.33228487922696837,3,8.0,0.0,3,2,2009.0,0,2.0,552.0,0.0,150.0,2009.0,12.481561937216318,0.006450419605796546,1.5,0.004644804493903682,387.0,2767.0
9,2,8.602325267042627,0.856492229262414,5,6.0,7.0,-2.04467853973017,0.3181195347034231,6,9,0.0,3,1,3,3,326.0,389.0,-1.0559785503616368,1,849.0,811.0,0.6710095023701844,0.0,-1.1907886371539629,1.0,0.33228487922696837,3,6.0,1.0,2,3,1939.0,3,1.0,240.0,0.0,0.0,2008.0,12.147913731356642,0.007318020320094362,3.0,0.005657627366528045,415.0,2375.0
4,2,7.745966692414834,0.10165788403365639,4,5.0,5.0,-0.23053222203672497,-0.5575504294151004,3,4,136.0,3,1,2,4,616.0,424.0,0.02305724735120423,3,1040.0,0.0,-0.9703948436077162,0.0,0.8061237684104074,0.0,0.33228487922696837,3,5.0,0.0,3,4,1978.5061638868744,1,0.0,0.0,0.0,0.0,2009.0,11.728036844587175,0.011276958504410744,1.5,0.008691876972111443,208.0,2080.0
0,3,0.0,-2.0623886678786842,0,7.0,5.0,0.8414633293275834,0.7817095157073473,7,10,18.0,2,2,2,5,0.0,1375.0,1.1352941465321327,0,1414.0,0.0,0.019742616707985113,0.0,0.8061237684104074,0.0,-1.2175125652925647,2,6.0,1.0,5,0,2004.0,0,2.0,398.0,144.0,20.0,2006.0,12.093687514935382,0.008552820024706777,1.0,0.005678984507968573,353.5,2789.0
9,2,8.888194417315589,0.35330738779981186,11,5.0,7.0,-1.714833754694998,0.3181195347034231,4,6,224.0,3,1,3,3,386.0,342.0,-1.0128171184531232,0,888.0,756.0,0.6286506805384966,0.0,-1.1907886371539629,1.0,0.33228487922696837,2,7.0,2.0,2,0,1942.0,3,1.0,312.0,168.0,0.0,2007.0,11.894780707439258,0.007235268070218527,3.0,0.005569914595650284,411.0,2372.0
4,2,9.899494936611665,0.753935965258458,15,8.0,5.0,0.9239245255863764,0.8847295114859971,7,10,248.0,2,2,2,5,0.0,1626.0,1.9686417933811269,0,1634.0,0.0,0.6021764168936918,0.0,0.8061237684104074,0.0,0.33228487922696837,2,7.0,1.0,2,0,2006.0,2,3.0,866.0,0.0,44.0,2007.0,12.429216196844383,0.007606619459513086,1.5,0.0057183731721852284,326.8,3260.0
8,2,8.717797887081348,0.3101362864716162,19,6.0,5.0,0.38792674990422216,0.21509953892477326,3,4,120.0,2,2,2,2,426.0,406.0,-0.667525663185014,0,832.0,878.0,0.8033808205942087,0.0,0.8061237684104074,1.0,0.33228487922696837,2,7.0,0.0,3,0,1993.0,2,2.0,506.0,144.0,70.0,2008.0,12.138863895836725,0.007098750816278786,1.5,0.005343158753591411,342.0,2542.0
2,3,5.916079783099616,-1.6781766050206526,6,6.0,5.0,0.8826939274569799,0.8332195135966722,7,10,80.0,3,2,2,2,459.0,88.0,-1.6137570550255054,0,1072.0,0.0,-0.8856771999443407,1.0,-1.1907886371539629,0.0,-1.2175125652925647,3,5.0,0.0,3,1,2005.0,2,2.0,525.0,0.0,28.0,2008.0,11.904967552746252,0.011105380179800608,2.0,0.007657936951163188,357.3333333333333,1619.0
0,2,6.4031242374328485,-0.881134556404767,21,8.0,5.0,0.6765409368099975,0.5756695241500477,2,3,0.0,2,2,2,2,1196.0,298.0,1.5303872540023729,0,1652.0,0.0,0.6498300914543406,1.0,0.8061237684104074,0.0,-1.2175125652925647,0,6.0,0.0,3,0,2000.0,2,2.0,499.0,96.0,48.0,2007.0,12.43320821811392,0.007526155095710606,1.0,0.005194374405060466,413.0,3146.0
4,2,8.660254037844387,1.0507430829046027,4,6.0,5.0,0.552849142421808,0.47264952837139784,7,10,215.0,3,2,2,2,994.0,484.0,1.4772654916534331,0,1493.0,0.0,0.22888929950194342,1.0,0.8061237684104074,0.0,0.33228487922696837,2,7.0,1.0,5,0,1997.0,0,2.0,508.0,140.0,39.0,2008.0,12.249610947544657,0.008204695879132388,1.5,0.006351154780616091,298.6,2971.0
4,2,8.888194417315589,0.6001691027889993,4,8.0,5.0,0.9651551237157728,0.9877495072646469,7,10,336.0,2,2,0,2,1288.0,417.0,2.2309304949790176,0,1718.0,0.0,0.8245602315100525,1.0,0.8061237684104074,0.0,0.33228487922696837,2,7.0,1.0,2,0,2007.0,2,3.0,826.0,208.0,44.0,2009.0,12.601487417784837,0.007334975214077321,1.5,0.0053970278045702355,343.6,3423.0
0,3,5.656854249492381,-1.2440152901340966,10,6.0,5.0,0.5940797405512046,0.47264952837139784,7,10,116.0,3,2,0,2,897.0,319.0,0.6073966331895427,0,1216.0,0.0,-0.5044478034591509,1.0,0.8061237684104074,0.0,-1.2175125652925647,3,5.0,0.0,3,0,1998.0,3,2.0,402.0,0.0,125.0,2006.0,12.007621706806335,0.00987468890362363,1.0,0.006917625555722378,304.0,2432.0
4,2,0.0,-0.07642811984096885,18,5.0,7.0,-0.8902217921070685,0.6271795220393726,3,7,0.0,3,1,3,0,588.0,411.0,-0.11306726866795418,2,999.0,0.0,-1.078939324551416,1.0,-1.1907886371539629,0.0,0.33228487922696837,2,6.0,0.0,3,3,1963.0,3,1.0,264.0,0.0,132.0,2007.0,11.794337924408413,0.01180614406847689,3.0,0.008965445293293205,249.75,1998.0
4,2,8.888194417315589,0.5288612892247471,11,5.0,7.0,-0.7665299977188792,-1.2271804019763242,4,6,168.0,3,1,3,0,836.0,237.0,0.13262088219589271,3,1073.0,0.0,-0.8830297735798602,1.0,-1.1907886371539629,1.0,0.33228487922696837,3,6.0,0.0,3,0,1965.0,2,2.0,515.0,0.0,0.0,2007.0,11.957611286231675,0.01114409253143679,3.0,0.008610280188607464,268.25,2146.0
1,3,0.0,-2.367068563582156,9,5.0,6.0,-0.3129934182955179,-0.6605704251937502,2,3,0.0,3,2,2,5,0.0,264.0,-2.5533482265723793,3,616.0,688.0,-0.27147428338486823,0.0,-1.1907886371539629,1.0,0.33228487922696837,3,4.0,1.0,2,2,1976.0,0,1.0,336.0,141.0,24.0,2008.0,11.652687407345388,0.008936109974958119,3.0,0.0060490485710122275,326.0,1568.0
8,2,10.246950765959598,1.4180549741562751,7,6.0,5.0,0.9239245255863764,0.8847295114859971,7,10,0.0,2,2,2,5,0.0,728.0,-1.0128171184531232,2,728.0,728.0,0.13093452401616548,0.0,0.8061237684104074,1.0,0.33228487922696837,3,8.0,0.0,3,0,2006.0,2,2.0,429.0,0.0,0.0,2006.0,12.059803326028716,0.008282831954690052,1.5,0.0066302300422252025,291.2,2184.0
7,2,7.745966692414834,0.27031316689841883,2,7.0,6.0,-2.415753922894738,-1.999830370316198,8,11,0.0,3,2,3,4,329.0,697.0,-0.023424294704118154,0,1133.0,687.0,1.094597720687062,1.0,0.8061237684104074,0.0,1.8820823237465014,3,8.0,0.0,3,3,1925.0,3,1.0,240.0,0.0,100.0,2008.0,12.122691036591123,0.006660819250874243,2.0,0.005010013781905702,303.3333333333333,2846.0
4,2,8.06225774829855,-0.06485366259717057,18,5.0,7.0,-0.6840688014600862,0.7817095157073473,3,4,89.0,3,2,3,0,450.0,414.0,-0.5612821384871343,0,899.0,0.0,-1.3436819609994646,0.0,-1.1907886371539629,0.0,0.33228487922696837,2,5.0,0.0,3,0,1967.0,0,1.0,288.0,64.0,0.0,2009.0,11.77528972943772,0.013098208820286674,3.0,0.009968719702644808,224.75,1763.0
1,3,4.58257569495584,-3.1037193053142578,1,6.0,5.0,-0.43668521268370736,-0.815100418861725,3,4,285.0,3,1,3,1,356.0,316.0,-1.1987432866744128,3,672.0,546.0,-0.49915295073018995,0.0,-1.1907886371539629,1.0,0.33228487922696837,3,7.0,0.0,3,3,1973.0,3,1.0,264.0,144.0,28.0,2007.0,11.635143097694478,0.009552662641785285,3.0,0.0061940329294365255,304.5,1890.0
8,0,8.660254037844387,0.4251318860477802,20,7.0,5.0,0.8826939274569799,0.8332195135966722,7,10,0.0,2,2,2,2,400.0,466.0,-0.5546419181935168,2,866.0,902.0,0.9569315497340768,0.0,0.8061237684104074,1.0,0.33228487922696837,2,7.0,0.0,3,0,2005.0,2,2.0,603.0,0.0,108.0,2008.0,12.33138283649562,0.006974764047791641,1.5,0.005198214785215908,353.6,2634.0
8,2,8.94427190999916,0.36997632458522817,19,8.0,5.0,0.38792674990422216,0.26660953681409816,7,10,125.0,2,2,2,2,380.0,397.0,-0.8501317212594949,0,1065.0,846.0,1.335513519854786,0.0,0.8061237684104074,1.0,0.33228487922696837,2,8.0,1.0,5,0,1993.0,2,2.0,471.0,182.0,81.0,2006.0,12.2783933071098,0.006425114237106123,1.5,0.004795769332260548,382.2,2688.0
4,0,8.660254037844387,-0.047880968059351554,20,6.0,5.0,1.0476163199745658,1.039259505153972,7,10,0.0,2,2,2,2,27.0,1191.0,0.6140368534831603,0,1218.0,0.0,-0.49915295073018995,0.0,0.8061237684104074,0.0,-1.2175125652925647,2,4.0,0.0,3,0,2009.0,0,2.0,676.0,0.0,102.0,2009.0,12.246734627249063,0.010054790334358837,1.0,0.0073643647832362935,304.5,2436.0
4,2,8.94427190999916,0.38027314741662605,11,5.0,6.0,-1.013913586495258,-1.5362403893122738,4,6,132.0,3,1,3,0,991.0,50.0,0.02637735749801297,0,1041.0,0.0,-0.9677474172432358,1.0,-1.1907886371539629,0.0,0.33228487922696837,3,6.0,0.0,3,0,1959.0,2,1.0,270.0,224.0,88.0,2009.0,11.732060994886899,0.011269991349555138,3.0,0.0088083750023592,260.25,2082.0
0,2,6.324555320336759,-0.3615020582588783,15,7.0,5.0,0.8826939274569799,0.8847295114859971,7,10,94.0,2,2,2,5,0.0,1368.0,1.1120533755044715,0,1368.0,0.0,-0.1020389960581172,0.0,0.8061237684104074,0.0,-1.2175125652925647,2,6.0,1.0,2,0,2005.0,2,2.0,474.0,132.0,35.0,2006.0,12.219309648562168,0.008932243895147783,1.0,0.006449927432742092,342.0,2736.0
10,2,0.0,0.5617361380418401,13,6.0,6.0,-0.4779158108131038,-0.8666104167510499,3,4,333.0,3,1,3,5,0.0,689.0,-1.142301414178664,3,1378.0,741.0,1.886178203666727,0.0,0.8061237684104074,1.0,0.33228487922696837,3,7.0,1.0,5,0,1972.0,2,2.0,583.0,0.0,104.0,2009.0,11.970350312009105,0.005649056305808921,1.5,0.004367232586841063,423.8,2808.0
